순위,등록번호,서명,저자,발행자,청구기호,자료실,대출횟수
79,BMK000399811,흔한남매. 4,흔한남매 원작 ; 백난도 글 ; 유난희 그림,MiraeN아이세움,J 813.7-흔91ㅎ-4=2,[남부]어린이열람실,7
80,BMK000401133,"Go Go 카카오프렌즈 : 세계 역사 문화 체험 학습만화. 14, 호주",김미영 글 ; 김정한 그림,아울북,J 980.2-김39ㄱ-14,[남부]어린이열람실,7
81,BMK000400984,"마법천자문 : 손오공의 한자 대탐험. 48, 늘 생각하다! 생각 념",김현수 글 ; 홍거북 그림 ; 김창환 감수,북이십일 아울북,J 711.47-시239ㅁ-48,[남부]어린이열람실,7
82,BMK000403841,달러구트 꿈 백화점 : 주문하신 꿈은 매진입니다 : 이미예 장편소설,지은이: 이미예,팩토리나인,813.7-이39ㄷ,[남부]종합실(청소년),7
83,BMK000396336,흔한남매. 3,흔한남매 원작 ; 백난도 글 ; 유난희 그림,미래엔,J 813.7-흔91ㅎ-3,[남부]어린이열람실,7
84,BMK000393041,비행기 사고에서 살아남기. 1-2,곰돌이 co 글 ; 한현동 그림,Mirae N 아이세움,J 400-곰225ㅂ-2,[남부]어린이열람실,7
85,BMK000394157,밍꼬발랄 코믹스. 1,"글: 김혜련,그림: 라임스튜디오",겜툰,J 813.7-김94ㅁ-1,[남부]어린이열람실,7
86,BMK000405396,(흔한남매) 안 흔한 일기. 3,흔한남매 원작 ; 강효미 글 ; 조병주 그림,MireaN·아이세움,J 816.7-흔91ㅇ-3,[남부]어린이열람실,7
87,BMK000424997,"설민석의 고사성어 대격돌. 2, 악전고투! 정조대왕, 전염병에 맞서 싸우다","설민석,스토리콘 글 ; 김문식 그림",한솔수북,J 714-설39ㅅ-2=2,[남부]어린이열람실,7
88,BMK000426900,꼬마 토끼의 캠핑 날,글 그림: 존 본드 ; 옮김: Holly Moon,예림당,MC 843-본228ㄲ,[남부]어린이열람실,7
89,BMK000426899,꼬마 토끼는 길을 잃지 않아요,글 그림: 존 본드 ; 옮김: Holly Moon,예림당,MC 843-본228ㄲ,[남부]어린이열람실,7
90,BMK000427011,"(이사도라 문)마녀 요정 미라벨. 2, 규칙을 깨다",해리엇 먼캐스터 지음 ; 심연희 옮김,을파소,J 843-먼822ㅁ-2,[남부]어린이열람실,7
