순위,등록번호,서명,저자,발행자,청구기호,자료실,대출횟수
57,BMK000419338,급식왕 GO. 3,급식왕 원작 ; 최재연 글 ; 서후 콘티 ; 구은미 그림,아울북,J 813.7-급59ㄱ=3,[남부]어린이열람실,7
58,BMK000428025,불편한 편의점 : 김호연 장편소설,지은이: 김호연,나무옆의자,813.7-김95ㅂ=3,[남부]종합자료실,7
59,BMK000422490,"놓지 마 과학!. 15, 사라진 마이아사우라의 호박장식을 찾아라","신태훈,나승훈 [공]글·그림",위즈덤하우스,J 400-신832ㄴ-15,[남부]어린이열람실,7
60,BMK000420910,흔한남매. 8,흔한남매 원작 ; 백난도 글 ; 유난희 그림,Mirae N 아이세움,J 813.7-흔91ㅎ-8,[남부]어린이열람실,7
61,BMK000426157,"서울 자가에 대기업 다니는 김 부장 이야기. 2, 정 대리·권 사원 편",송희구 지음,서삼독,325.04-송98ㅅ-2=2,[남부]종합자료실,7
62,BMK000428551,(Who? K-pop) IU,유경원 글 ; 신영미 그림,다산어린이,J 998.6-유14ㅇ,[남부]어린이열람실,7
63,BMK000420926,"(설민석의)한국사 대모험. 17, 6·25 전쟁 편-황금순 할머니의 소원","설민석,스토리박스 [공]글 ; 정현희 그림",아이휴먼,J 911-설39ㅎ-17,[남부]어린이열람실,7
64,BMK000372825,Baby 첫 동물 100,소울하우스,스마트베어,MC 490-소67ㅂ,[남부]어린이열람실,7
65,BMK000432341,강성태의 저절로 어휘력 : 문해력을 키워 주는 어휘력 학습 만화. 1,글: 이정은 ; 그림: 강신영,Mirae N 아이세움,J 714-이73ㄱ-1,[남부]어린이열람실,7
66,BMK000430576,(이상한 과자 가게)전천당. 10,히로시마 레이코 글 ; 쟈쟈 그림 ; 김정화 옮김,길벗스쿨,J 833.6-히235ㅈ-10=2,[남부]어린이열람실,7
67,BMK000432623,(흔한남매) 별난 방탈출. 4,흔한남매 원작 ; 김언정 글 ; 차차 그림,미래엔,J 813.7-흔91ㅂ-4,[남부]어린이열람실,7
68,BMK000432357,"(신비아파트) 한자귀신. 18, 불길한 방울 소리",김강현 글 ; 김기수 그림,서울문화사,J 711.4-김11ㅎ-18,[남부]어린이열람실,7
69,BMK000430454,내 멋대로 행운 뽑기,최은옥 글 ; 김무연 그림,주니어김영사,J 813.7-최68ㄴ,[남부]어린이열람실,7
70,BMK000429053,(쿠키런 킹덤) 전설의 언어술사. 2,전판교 글 ; 정수영 그림,서울문화사,J 710-전841ㅈ-2,[남부]어린이열람실,7
71,BMK000434033,말이야와 친구들. 4,말이야와 친구들 원작 ; 김정욱 글 ; 이혜림 그림,주니어김영사,J 813.7-말69-4,[남부]어린이열람실,7
